Date,Add1(in Thousands),Add2(in Thousands),Add3(in Thousands),Add4(in Thousands),Add5(in Thousands),Profit(in Thousands)
2018-08-07,241,241.55,235.3,237.5,237.6,4506.279
2018-08-06,235.15,240.45,234.15,240,239.5,4486.996
2018-08-03,236,239,232,235.2,234.65,4453.205
2018-08-02,232.5,238.05,230.4,235,235.45,4432.864
2018-08-01,248.7,254.95,234.35,235.1,235.65,4672.391
2018-07-31,243.4,249.65,241.5,247.1,246.9,4648.627
2018-07-30,243.7,247,240.9,243.65,242.2,4606.34
2018-07-27,241,243.95,239.15,242.5,242.25,4558.651
2018-07-26,235.9,242.95,234.5,239.5,239.1,4519.061
2018-07-25,248.5,248.5,235.8,236.05,236.9,4599.49
2018-07-24,244,249.2,241.9,246.3,246.3,4643.716
2018-07-23,238.9,244.25,235.25,243.05,243.3,4548.11
2018-07-20,231.25,240.95,231.25,238.9,238.6,4477.226
2018-07-19,239.7,243.3,228.6,232.5,233.1,4494.144
2018-07-18,248.4,249.6,232.7,238.1,238.65,4605.783
2018-07-17,241.55,251.85,240.3,247.5,247.9,4671.113
2018-07-16,257.9,257.9,242.1,243.9,243.25,4760.877
2018-07-13,265,265.75,257.55,258.3,258.9,4947.72
2018-07-12,270.4,272.45,264.35,264.5,265.2,5071.736
2018-07-11,274.8,275.45,267.45,270,269.8,5133.766
2018-07-10,275.9,277.8,272.55,274.55,274.75,5190.814
2018-07-09,268.25,276.2,267,275.3,275.25,5145.131
2018-07-06,269.8,273.25,265.7,266.2,266.3,5088.455
2018-07-05,277.45,282.4,270,271.8,271.25,5234.487
2018-07-04,281,281,275.35,277.7,277.3,5250.775
2018-07-03,264.5,284.5,262.7,280.1,281,5239.06
2018-07-02,271,273.1,263.25,264.5,264.45,5075.858
2018-06-29,262.7,270.15,262.7,269.2,269.35,5038.222
2018-06-28,263,268.25,261.45,265.05,263.95,5001.615
2018-06-27,265.1,268.4,261.2,263.15,265.6,5004.282
2018-06-26,264.8,269.7,263.3,264.6,267.35,5030.451
2018-06-25,260.1,266.95,260.1,264.55,264.5,4977.891
2018-06-22,257.9,263.55,256.45,261.95,262.1,4916.064
2018-06-21,258.05,262.35,255.5,258.15,258.2,4890.723
2018-06-20,263.7,264.75,257,260.55,260.85,4936.12
2018-06-19,274.65,274.65,266.05,267,267.05,5113.337
2018-06-18,271.55,276.85,269.15,274.9,275.35,5163.693
2018-06-15,279.15,281,271.45,272.2,272.15,5225.14
2018-06-14,269.8,278.75,268.2,278,277.8,5187.445
2018-06-13,267,270.5,265.35,270,269.6,5057.155
2018-06-12,262.75,268.4,262.75,267.2,267.6,5013.207
2018-06-11,265.6,271.25,262.7,263.25,263.7,5043.705
2018-06-08,263.7,269.35,263.55,266.7,266.95,5027.633
2018-06-07,266.9,269.7,263.3,267,267.1,5034.726
2018-06-06,262.75,266.7,260.35,265.55,265.75,4980.446
2018-06-05,255.5,264.7,254.8,264.2,263.75,4925.861
2018-06-04,265,265.4,253.5,255.5,255.25,4923.127
2018-06-01,269.7,269.7,258.55,265.1,263.25,5015.536
2018-05-31,267,272,260.7,269.05,269.2,5058.14
2018-05-30,254,266,253.2,265.7,264.5,4937.03
2018-05-29,257.4,262.7,257,257.9,257.5,4898.776
2018-05-28,254.7,262.2,254.65,260.7,260.65,4887.296
2018-05-25,252.2,259.4,252.2,258.5,257.85,4836.837
2018-05-24,251,255.5,247.3,255,254.5,4763.69
2018-05-23,246.5,252.35,245.55,250,250.2,4705.198
2018-05-22,244,251.1,244,247.6,247.15,4676.653
2018-05-21,244.1,248.35,240.55,244,243.55,4623.793
2018-05-18,248.3,248.95,243.35,245.1,244.7,4647.356
2018-05-17,243.5,249.3,242.5,247.5,247.5,4648.834
2018-05-16,240,245.6,237.25,241.4,241.1,4569.293
2018-05-15,256.45,259.5,240.75,242.45,242.65,4772.52
2018-05-14,280,281.35,251.85,257,255.9,5131.898
2018-05-11,284.4,290.5,284.4,287,287.5,5421.94
2018-05-10,292.95,293,283.45,284.15,285.25,5453.24
2018-05-09,289.6,294.35,288.6,292,292,5498.553
2018-05-08,296,296.2,287.25,289.5,289.7,5518.561
2018-05-07,288.8,295.5,287,295.05,294.2,5511.42
2018-05-04,287.05,291.5,282.3,287.9,287.8,5430.79
2018-05-03,292.75,292.75,283.1,286.45,286.65,5452.28
2018-05-02,297.4,300,289.4,293,292.75,5580.775
2018-04-30,293.9,298.5,292.05,297.85,297.55,5577.15
2018-04-27,293.45,294.4,291.05,291.4,292.1,5511.087
2018-04-26,292.5,293.65,288.75,291.2,291.2,5491.792
2018-04-25,283.05,291.25,282.05,289.1,289.1,5425.19
2018-04-24,283,288,281.8,283.7,283.15,5373.275
2018-04-23,287.7,287.8,282.65,283.2,283.6,5378.379
2018-04-20,285.95,288.8,283.65,286,286.3,5397.739
2018-04-19,286,288.65,283.6,285.55,286.2,5395.217
2018-04-18,282.3,287.45,279.25,285.35,284.1,5359.346
2018-04-17,282,285.25,277.5,280.6,280.95,5318.1
2018-04-16,274,280.2,272.55,279.4,279.65,5227.886
2018-04-13,274,277.35,271.75,275.7,275.5,5182.368
2018-04-12,273.9,277.8,271.65,273.9,273.85,5184.204
2018-04-11,276.1,276.35,271.5,273.85,273.85,5167.878
2018-04-10,280.2,280.7,274.1,275.8,275.5,5238.366
2018-04-09,275,281.65,273,276.75,277.8,5244.097
2018-04-06,274.8,275.65,271,272.7,272.7,5153.977
2018-04-05,274.55,277,271.5,273,273,5172.76
2018-04-04,276.7,279.05,269.55,270.15,270.25,5188.139
2018-04-03,276,277.55,271.7,275.3,274.8,5185.639
2018-04-02,259.35,278.4,259.35,277.45,276.95,5140.372
2018-03-28,261.25,264,257.5,259.15,258.75,4922.845
2018-03-27,264,265.75,260.75,264,263.8,4968.03
2018-03-26,258.05,263.5,253.7,263.45,262.2,4907.56
2018-03-23,251.05,258.9,250,258.2,257.9,4821.542
2018-03-22,264.65,264.65,257.6,259.1,258.85,4934.682
2018-03-21,265.3,266.3,262.15,262.9,263.2,4979.399
2018-03-20,259.7,263.65,255.1,263.3,262.05,4915.682
2018-03-19,272.6,273,258.35,260.65,260.6,5051.755
2018-03-16,280.8,282.7,271.05,272.55,272.4,5247.011
2018-03-15,278,284.4,277.25,279.55,279.6,5300.437
2018-03-14,275.25,281.25,275.25,279,278.5,5250.15
2018-03-13,278.05,281.3,273.2,278.2,278.2,5245.324
2018-03-12,270,276.65,269.7,276,276.05,5163.322
2018-03-09,275.9,275.9,266.6,268.5,268.35,5134.657
2018-03-08,270.5,274.2,265,273.15,273.4,5111.806
2018-03-07,272,274.45,265.15,268.9,268.9,5108.626
2018-03-06,276.7,283.1,271.45,272.5,274.15,5250.788
2018-03-05,274.8,276.95,270.55,276.6,275.65,5175.051
2018-03-01,275,277.35,274.1,275.45,274.85,5190.758
2018-02-28,273,277,272,275.4,275.5,5177.61
2018-02-27,275,279.7,273.1,275.4,275,5216.436
2018-02-26,273.55,274.8,271.55,274.8,273.5,5146.949
2018-02-23,264.2,271.9,263,271.2,270.7,5065.652
2018-02-22,265.95,269.9,261.1,262.9,262.15,5019.997
2018-02-21,265,268.85,262.2,266.5,266.6,5017.503
2018-02-20,268.7,274.2,261.65,263,262.85,5078.636
2018-02-19,277,277.05,263,269,267.95,5137.534
2018-02-16,280.25,282.75,274.2,275.5,275.6,5263.935
2018-02-15,284.35,285.25,276,279.85,279.05,5312.74
2018-02-14,287.95,289,280.9,281.5,281.95,5384.175
2018-02-12,282.4,289.6,279.7,284.25,285.1,5387.438
2018-02-09,271.1,279.8,271.1,278.65,278.25,5212.949
2018-02-08,282,286.5,276.1,280.4,280.45,5328.025
2018-02-07,270,284.4,270,279.65,280.15,5267.657
2018-02-06,259,270.3,253.25,266,266.7,4997.719
2018-02-05,265.1,276.9,255.15,275.5,273.1,5107.437
2018-02-02,284,285,260.25,274.6,274.85,5245.14
2018-02-01,290.25,294.9,278.6,289.55,288.35,5465.277
2018-01-31,302.9,303.7,286.1,291.15,290.65,5616.791
2018-01-30,300.95,307.3,299.45,304,304,5730.999
2018-01-29,305.25,306.8,300.7,301.3,301.8,5728.804
2018-01-25,304,311.25,301.65,305.3,304.25,5792.175
2018-01-24,306,310.7,302.8,303.7,304.25,5789.791
2018-01-23,310.7,310.7,304.05,307.7,307.2,5805.521
2018-01-22,307.05,314.95,306.6,309,308.85,5866.196
2018-01-19,306,310,300.95,309.9,308.35,5784.54
2018-01-18,315.05,315.75,301.4,304.5,305.45,5858.34
2018-01-17,313.85,317,307.55,314.05,313.55,5910.98
2018-01-16,323,326.9,311.45,317.6,316.4,6062.457
2018-01-15,327.7,328.75,321.65,323.7,323,6137.8
2018-01-12,315.05,328.35,315,325.95,325.75,6101.648
2018-01-11,314,316.7,311.8,313.1,313.3,5921.116
2018-01-10,315,319.1,312.55,314.25,314.1,5956.323
2018-01-09,317.6,319.65,314,314.7,315.3,5972.337
2018-01-08,314.65,319.2,312.2,317.45,317.6,5962.336
2018-01-05,312.3,315.85,310.35,312.85,312.95,5903.253
2018-01-04,312,313.5,307.25,312.3,312.25,5861.83
2018-01-03,311.9,315.15,310.15,310.95,311.2,5890.012
2018-01-02,314.3,314.95,307.55,310.7,311.15,5880.541
2018-01-01,317.75,317.8,311.8,313.45,312.9,5938.474
2017-12-29,308.05,318,306.35,316.05,316.4,5917.925
2017-12-28,306.5,309.3,303.55,306.8,306.6,5780.799
2017-12-27,305.5,308.8,302.5,305.65,305.55,5767.839
2017-12-26,303.7,307.7,300.55,305.5,305.95,5745.806
2017-12-22,301,306.35,299.7,302.8,302.75,5717.838
2017-12-21,302.25,303,298.15,300.2,300.15,5667.25
2017-12-20,301,303.8,297.75,302,300.85,5676.934
2017-12-19,292,301.45,291.7,300.7,300.65,5616.186
2017-12-18,280,293.95,275.1,291.6,290.85,5435.316
2017-12-15,289,289.95,286.15,287.1,286.85,5425.371
2017-12-14,288,288.25,279.2,284.5,284.3,5374.105
2017-12-13,290,292.5,282.2,284.8,284.45,5439.655
2017-12-12,298.6,298.6,286.65,287.45,287.8,5545.013
2017-12-11,290,299.55,285.9,297.85,298.35,5565.444
2017-12-08,287.55,289.9,285.05,288.05,288.45,5421.842
